,Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,WC,LC,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes,Year
8,9,New Mexico State,Conference USA,0,1,0.0,,,,,,46.0,86.0,,0.0,40.0,,,,,,,2023
0,1,IUPUI,Horizon League,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Milwaukee,Horizon League,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Cleveland State,Horizon League,0,1,0.0,,,,,,77.0,79.0,,0.0,2.0,,,,,,,2023
3,4,Detroit Mercy,Horizon League,0,1,0.0,,,,,,60.0,94.0,,0.0,34.0,,,,,,,2023
4,5,Green Bay,Horizon League,0,1,0.0,,,,,,44.0,85.0,,0.0,41.0,,,,,,,2023
5,6,Northern Kentucky,Horizon League,0,1,0.0,,,,,,57.0,74.0,,0.0,17.0,,,,,,,2023
6,7,Oakland,Horizon League,0,1,0.0,,,,,,73.0,79.0,,0.0,6.0,,,,,,,2023
7,8,Robert Morris,Horizon League,0,1,0.0,,,,,,63.0,77.0,,0.0,14.0,,,,,,,2023
8,9,Youngstown State,Horizon League,0,1,0.0,,,,,,62.0,72.0,,0.0,10.0,,,,,,,2023
9,10,Purdue Fort Wayne,Horizon League,0,0,,,,,,,82.0,74.0,,0.0,-8.0,,,,,,,2023
10,11,Wright State,Horizon League,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Chicago State,Independent,0,1,0.0,,,,,,41.0,70.0,,0.0,29.0,,,,,,,2023
0,1,Cornell,Ivy League,1,0,1.0,,,,,,84.0,78.0,,0.0,-6.0,,,,,,,2023
1,2,Harvard,Ivy League,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Pennsylvania,Ivy League,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Princeton,Ivy League,1,0,1.0,,,,,,68.0,61.0,,0.0,-7.0,,,,,,,2023
4,5,Yale,Ivy League,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Brown,Ivy League,0,1,0.0,,,,,,75.0,85.0,,0.0,10.0,,,,,,,2023
6,7,Columbia,Ivy League,0,1,0.0,,,,,,59.0,78.0,,0.0,19.0,,,,,,,2023
7,8,Dartmouth,Ivy League,0,1,0.0,,,,,,54.0,92.0,,0.0,38.0,,,,,,,2023
0,1,Manhattan,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,61.0,59.0,,0.0,-2.0,,,,,,,2023
1,2,Marist,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,71.0,55.0,,0.0,-16.0,,,,,,,2023
2,3,Quinnipiac,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Rider,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Siena,Metro Atlantic Athletic Conference,1,0,1.0,,,,,,73.0,71.0,,0.0,-2.0,,,,,,,2023
5,6,Fairfield,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,70.0,89.0,,0.0,19.0,,,,,,,2023
6,7,Iona,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,69.0,71.0,,0.0,2.0,,,,,,,2023
7,8,Mount St. Mary's,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,53.0,68.0,,0.0,15.0,,,,,,,2023
8,9,Niagara,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,63.0,70.0,,0.0,7.0,,,,,,,2023
9,10,Saint Peter's,Metro Atlantic Athletic Conference,0,1,0.0,,,,,,59.0,70.0,,0.0,11.0,,,,,,,2023
10,11,Canisius,Metro Atlantic Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Akron,Mid-American Conference,1,0,1.0,,,,,,81.0,75.0,,0.0,-6.0,,,,,,,2023
1,2,Ball State,Mid-American Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Bowling Green State,Mid-American Conference,1,0,1.0,,,,,,70.0,41.0,,0.0,-29.0,,,,,,,2023
3,4,Kent State,Mid-American Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Toledo,Mid-American Conference,1,0,1.0,,,,,,94.0,60.0,,0.0,-34.0,,,,,,,2023
5,6,Buffalo,Mid-American Conference,0,1,0.0,,,,,,86.0,92.0,,0.0,6.0,,,,,,,2023
6,7,Central Michigan,Mid-American Conference,0,1,0.0,,,,,,59.0,89.0,,0.0,30.0,,,,,,,2023
7,8,Eastern Michigan,Mid-American Conference,0,1,0.0,,,,,,55.0,94.0,,0.0,39.0,,,,,,,2023
8,9,Miami (OH),Mid-American Conference,0,1,0.0,,,,,,64.0,72.0,,0.0,8.0,,,,,,,2023
9,10,Northern Illinois,Mid-American Conference,0,1,0.0,,,,,,70.0,92.0,,0.0,22.0,,,,,,,2023
10,11,Western Michigan,Mid-American Conference,0,1,0.0,,,,,,76.0,80.0,,0.0,4.0,,,,,,,2023
11,12,Ohio,Mid-American Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Howard,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,92.0,80.0,,0.0,-12.0,,,,,,,2023
1,2,Norfolk State,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,South Carolina State,Mid-Eastern Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Coppin State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,55.0,100.0,,0.0,45.0,,,,,,,2023
4,5,Delaware State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,45.0,79.0,,0.0,34.0,,,,,,,2023
5,6,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,65.0,85.0,,0.0,20.0,,,,,,,2023
6,7,Morgan State,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,59.0,122.0,,0.0,63.0,,,,,,,2023
7,8,North Carolina Central,Mid-Eastern Athletic Conference,0,1,0.0,,,,,,56.0,99.0,,0.0,43.0,,,,,,,2023
0,1,Belmont,Missouri Valley Conference,1,0,1.0,,,,,,89.0,87.0,,0.0,-2.0,,,,,,,2023
1,2,Bradley,Missouri Valley Conference,1,0,1.0,,,,,,73.0,71.0,,0.0,-2.0,,,,,,,2023
2,3,Evansville,Missouri Valley Conference,1,0,1.0,,,,,,72.0,64.0,,0.0,-8.0,,,,,,,2023
3,4,Illinois State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Indiana State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Murray State,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Southern Illinois,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Valparaiso,Missouri Valley Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
8,9,Illinois-Chicago,Missouri Valley Conference,0,1,0.0,,,,,,58.0,69.0,,0.0,11.0,,,,,,,2023
9,10,Missouri State,Missouri Valley Conference,0,1,0.0,,,,,,59.0,67.0,,0.0,8.0,,,,,,,2023
10,11,Northern Iowa,Missouri Valley Conference,0,1,0.0,,,,,,77.0,83.0,,0.0,6.0,,,,,,,2023
11,12,Drake,Missouri Valley Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Boise State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Colorado State,Mountain West Conference,1,0,1.0,,,,,,81.0,73.0,,0.0,-8.0,,,,,,,2023
2,3,Fresno State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Nevada,Mountain West Conference,1,0,1.0,,,,,,77.0,63.0,,0.0,-14.0,,,,,,,2023
4,5,New Mexico,Mountain West Conference,1,0,1.0,,,,,,92.0,55.0,,0.0,-37.0,,,,,,,2023
5,6,San Diego State,Mountain West Conference,1,0,1.0,,,,,,83.0,57.0,,0.0,-26.0,,17.0,17.0,,,,2023
6,7,San Jose State,Mountain West Conference,1,0,1.0,,,,,,72.0,64.0,,0.0,-8.0,,,,,,,2023
7,8,Utah State,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
8,9,Wyoming,Mountain West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
9,10,Air Force,Mountain West Conference,0,1,0.0,,,,,,55.0,62.0,,0.0,7.0,,,,,,,2023
10,11,Nevada-Las Vegas,Mountain West Conference,0,0,,,,,,,,,,,,,,,,,,2023
